channel,start_date,cumrev
Influencer,05-01-2023,5372523
Influencer,04-10-2023,5449005
Influencer,03-04-2023,5595565
Influencer,03-03-2023,5731516
Influencer,03-03-2023,5731516
Influencer,02-11-2023,5829813
Influencer,02-10-2023,6029745
Influencer,02-10-2023,6029745
Influencer,02-08-2023,6136655
Influencer,01-09-2023,6286614
Influencer,01-06-2023,6421749
Influencer,01-04-2023,6507880
Influencer,01-01-2023,6584968
Partnership,31-08-2023,10125
Partnership,31-07-2023,34806
Partnership,29-05-2023,142184
Partnership,28-10-2023,232816
Partnership,28-07-2023,349084
Partnership,27-12-2023,433931
Partnership,27-08-2023,527930
Partnership,27-01-2023,658011
Partnership,26-08-2023,761060
Partnership,24-02-2023,873389
Partnership,23-09-2023,959372
Partnership,22-11-2023,1034618
Partnership,22-09-2023,1123482
Partnership,22-05-2023,1167688
Partnership,21-11-2023,1281976
Partnership,21-02-2023,1352845
Partnership,21-01-2023,1495544
Partnership,20-05-2023,1532099
Partnership,19-11-2023,1573382
Partnership,19-06-2023,1670841
Partnership,19-04-2023,1710790
Partnership,18-11-2023,1730365
Partnership,18-07-2023,1858618
Partnership,17-12-2023,1970511
Partnership,17-07-2023,2022061
Partnership,17-04-2023,2128290
Partnership,15-08-2023,2206238
Partnership,15-08-2023,2206238
Partnership,15-08-2023,2206238
Partnership,15-07-2023,2316565
Partnership,14-12-2023,2423176
Partnership,14-09-2023,2494840
Partnership,14-05-2023,2519126
Partnership,13-08-2023,2594792
Partnership,11-11-2023,2619314
Partnership,11-04-2023,2692310
Partnership,10-08-2023,2743063
Partnership,09-05-2023,2827660
Partnership,08-10-2023,2939023
Partnership,07-08-2023,2994115
Partnership,06-12-2023,3091038
Partnership,06-07-2023,3246530
Partnership,06-05-2023,3393657
Partnership,05-02-2023,3406170
Partnership,04-06-2023,3509503
Partnership,03-06-2023,3583936
Partnership,02-12-2023,3625067
Partnership,02-10-2023,3689289
Partnership,02-07-2023,3785892
Partnership,02-04-2023,3917626
Partnership,01-12-2023,4035903
"Search Ads",31-10-2023,89810
"Search Ads",30-10-2023,129484
"Search Ads",30-05-2023,154835
"Search Ads",30-04-2023,273023
"Search Ads",29-06-2023,401216
"Search Ads",28-07-2023,439303
"Search Ads",27-07-2023,548948
"Search Ads",27-01-2023,615402
"Search Ads",26-04-2023,634066
"Search Ads",25-04-2023,709629
"Search Ads",24-12-2023,850858
"Search Ads",23-10-2023,953748
"Search Ads",21-07-2023,1113394
"Search Ads",20-12-2023,1155130
"Search Ads",20-10-2023,1259880
"Search Ads",20-04-2023,1341756
"Search Ads",20-03-2023,1427380
"Search Ads",19-11-2023,1542198
"Search Ads",18-11-2023,1586640
"Search Ads",18-04-2023,1689915
"Search Ads",17-07-2023,1791508
"Search Ads",17-05-2023,1900127
"Search Ads",16-04-2023,2032912
"Search Ads",16-02-2023,2122249
"Search Ads",13-12-2023,2161583
"Search Ads",12-11-2023,2223793
"Search Ads",12-10-2023,2367929
"Search Ads",12-09-2023,2437011
"Search Ads",12-03-2023,2502939
"Search Ads",10-12-2023,2633828
"Search Ads",10-07-2023,2722406
"Search Ads",09-12-2023,2841806
"Search Ads",08-02-2023,2914532
"Search Ads",06-12-2023,3040698
"Search Ads",06-11-2023,3177623
"Search Ads",06-07-2023,3304403
"Search Ads",06-05-2023,3394798
"Search Ads",06-01-2023,3489775
"Search Ads",05-07-2023,3615886
"Search Ads",05-05-2023,3758439
"Search Ads",04-11-2023,3831857
"Search Ads",04-10-2023,3903451
"Search Ads",04-09-2023,4081133
"Search Ads",04-09-2023,4081133
"Search Ads",04-01-2023,4185373
"Search Ads",04-01-2023,4185373
"Search Ads",03-09-2023,4221443
"Search Ads",03-06-2023,4333466
"Search Ads",02-06-2023,4430263
"Search Ads",01-05-2023,4477116
"Social Media",31-01-2023,91740
"Social Media",30-11-2023,181956
"Social Media",29-07-2023,351066
"Social Media",29-07-2023,351066
"Social Media",29-05-2023,393882
"Social Media",28-12-2023,499924
"Social Media",27-11-2023,608730
"Social Media",26-02-2023,695366
"Social Media",25-01-2023,850225
"Social Media",24-12-2023,986446
"Social Media",24-06-2023,1038499
"Social Media",24-03-2023,1090280
"Social Media",23-06-2023,1167031
"Social Media",23-03-2023,1210415
"Social Media",23-01-2023,1245696
"Social Media",22-12-2023,1293391
"Social Media",22-01-2023,1410320
"Social Media",21-06-2023,1471027
"Social Media",20-09-2023,1552332
"Social Media",18-08-2023,1599040
"Social Media",18-01-2023,1711081
"Social Media",16-06-2023,1797087
"Social Media",16-05-2023,1867925
"Social Media",16-03-2023,1943439
"Social Media",15-12-2023,2005220
"Social Media",15-06-2023,2127129
"Social Media",15-05-2023,2260605
"Social Media",14-06-2023,2322768
"Social Media",14-01-2023,2433161
"Social Media",13-02-2023,2547082
"Social Media",11-12-2023,2652464
"Social Media",11-12-2023,2652464
"Social Media",10-12-2023,2726882
"Social Media",10-11-2023,2802775
"Social Media",10-10-2023,2949017
"Social Media",10-10-2023,2949017
"Social Media",09-06-2023,2974694
"Social Media",08-11-2023,3036346
"Social Media",08-09-2023,3159628
"Social Media",08-08-2023,3350187
"Social Media",08-08-2023,3350187
"Social Media",08-03-2023,3365914
"Social Media",08-02-2023,3483301
"Social Media",07-03-2023,3526992
"Social Media",07-01-2023,3608613
"Social Media",06-11-2023,3700135
"Social Media",06-05-2023,3729213
"Social Media",05-04-2023,3834355
"Social Media",05-01-2023,3892702
"Social Media",04-04-2023,3967313
"Social Media",02-07-2023,4017696
"Social Media",02-03-2023,4102270
"Social Media",02-02-2023,4221759
"Social Media",01-11-2023,4294162
"Social Media",01-03-2023,4370198
