Campaign_ID,total_revenue,ExceedsAvgReturn
CAMP128,26084,No
CAMP129,147127,Yes
CAMP130,89333,Yes
CAMP131,38816,No
CAMP132,60360,No
CAMP133,26766,No
CAMP134,78950,No
CAMP135,110327,Yes
CAMP136,106910,Yes
CAMP137,39949,No
CAMP138,68134,No
CAMP139,98074,Yes
CAMP140,43231,No
CAMP141,111057,Yes
CAMP142,77184,No
CAMP143,71982,No
CAMP144,71664,No
CAMP145,24286,No
CAMP146,68096,No
CAMP147,103275,Yes
CAMP148,87794,Yes
CAMP149,25351,No
CAMP150,112307,Yes
CAMP151,89337,Yes
CAMP152,77088,No
CAMP153,106804,Yes
CAMP154,128193,Yes
CAMP155,117387,Yes
CAMP156,49266,No
CAMP157,49613,No
CAMP158,137539,Yes
CAMP159,107484,Yes
CAMP160,74418,No
CAMP161,145566,Yes
CAMP162,126166,Yes
CAMP163,58267,No
CAMP164,116511,Yes
CAMP165,119489,Yes
CAMP166,140143,Yes
CAMP167,112057,Yes
CAMP168,62210,No
CAMP169,84013,No
CAMP170,44511,No
CAMP171,76751,No
CAMP172,112512,Yes
CAMP173,109557,Yes
CAMP174,74611,No
CAMP175,106611,Yes
CAMP176,117093,Yes
CAMP177,109926,Yes
CAMP178,62163,No
CAMP179,106042,Yes
CAMP180,88578,Yes
CAMP181,60782,No
CAMP182,132025,Yes
CAMP183,69383,No
CAMP184,34679,No
CAMP185,119495,Yes
CAMP186,55092,No
CAMP187,66454,No
CAMP188,57694,No
CAMP189,80205,No
CAMP190,99726,Yes
CAMP191,86131,Yes
CAMP192,64494,No
CAMP193,39674,No
CAMP194,116268,Yes
CAMP195,34719,No
CAMP196,89810,Yes
CAMP197,120009,Yes
CAMP198,84597,Yes
CAMP199,78973,No
CAMP200,55261,No
CAMP201,81621,No
CAMP202,104178,Yes
CAMP203,36070,No
CAMP204,21182,No
CAMP205,58096,No
CAMP206,86006,Yes
CAMP207,91522,Yes
CAMP208,51781,No
CAMP209,77916,No
CAMP210,19575,No
CAMP211,97459,Yes
CAMP212,114818,Yes
CAMP213,18120,No
CAMP214,61781,No
CAMP215,118277,Yes
CAMP216,82666,No
CAMP217,105445,Yes
CAMP218,117322,Yes
CAMP219,72996,No
CAMP220,50753,No
CAMP221,51572,No
CAMP222,52053,No
CAMP223,100526,Yes
CAMP224,75563,No
CAMP225,38878,No
CAMP226,50914,No
CAMP227,75666,No
CAMP228,119756,Yes
CAMP229,66722,No
CAMP230,15727,No
CAMP231,29078,No
CAMP232,31873,No
CAMP233,128280,Yes
CAMP234,17253,No
CAMP235,59428,No
CAMP236,60796,No
CAMP237,46853,No
CAMP238,44442,No
CAMP239,100490,Yes
CAMP240,56741,No
CAMP241,130474,Yes
CAMP242,95115,Yes
CAMP243,92281,Yes
CAMP244,93999,Yes
CAMP245,121909,Yes
CAMP246,60707,No
CAMP247,24681,No
CAMP248,48641,No
CAMP249,65928,No
CAMP250,107378,Yes
CAMP251,144136,Yes
CAMP252,18664,No
CAMP253,41283,No
CAMP254,146560,Yes
CAMP255,94010,Yes
CAMP256,136221,Yes
CAMP257,51550,No
CAMP258,81876,No
CAMP259,69261,No
CAMP260,83832,No
CAMP261,50383,No
CAMP262,90216,Yes
CAMP263,25677,No
CAMP264,43384,No
CAMP265,12513,No
CAMP266,52328,No
CAMP267,149959,Yes
CAMP268,123282,Yes
CAMP269,69082,No
CAMP270,50497,No
CAMP271,116929,Yes
CAMP272,46708,No
CAMP273,74433,No
CAMP274,51928,No
CAMP275,27486,No
CAMP276,128253,Yes
CAMP277,39334,No
CAMP278,84379,No
CAMP279,85624,Yes
CAMP280,49508,No
CAMP281,96582,Yes
CAMP282,84076,No
CAMP283,40644,No
CAMP284,102757,Yes
CAMP285,134326,Yes
CAMP286,70962,No
CAMP287,142951,Yes
CAMP288,104422,Yes
CAMP289,10125,No
CAMP290,75893,No
CAMP291,154259,Yes
CAMP292,90395,Yes
CAMP293,120727,Yes
CAMP294,72112,No
CAMP295,101593,Yes
CAMP296,126780,Yes
CAMP297,112041,Yes
CAMP298,90895,Yes
CAMP299,111893,Yes
CAMP300,96797,Yes
