campaign_ID,returnf
CAMP038,14.8663
CAMP084,14.8168
CAMP103,14.7433
CAMP130,14.5731
CAMP121,14.4894
CAMP001,14.4576
CAMP281,14.3959
CAMP046,14.3813
CAMP005,14.3468
CAMP142,14.2696
CAMP170,14.2344
CAMP164,14.1931
CAMP029,14.1439
CAMP114,14.1435
CAMP080,14.1294
CAMP214,14.0924
CAMP047,14.0519
CAMP066,14.0426
CAMP173,14.0063
CAMP243,13.8125
CAMP248,13.7133
CAMP018,13.6085
CAMP110,13.5338
CAMP056,13.4893
CAMP242,13.4648
CAMP150,13.3492
CAMP016,13.2692
CAMP233,13.1273
CAMP255,13.1061
CAMP057,13.0697
CAMP176,13.0538
CAMP237,13.0292
CAMP184,12.9690
CAMP278,12.8236
CAMP007,12.8223
CAMP148,12.7090
CAMP250,12.7014
CAMP294,12.5521
CAMP218,12.5103
CAMP300,12.4322
CAMP134,12.2593
CAMP181,12.1686
CAMP236,11.9677
CAMP153,11.9321
CAMP137,11.7983
CAMP034,11.6578
CAMP177,11.4925
CAMP223,11.3923
CAMP133,11.3415
CAMP147,11.2968
CAMP224,11.2932
CAMP180,11.2053
CAMP093,11.0865
CAMP030,10.9196
CAMP266,10.8609
CAMP152,10.7245
CAMP249,10.7096
CAMP014,10.7019
CAMP010,10.6876
CAMP183,10.6694
CAMP199,10.6576
CAMP171,10.6333
CAMP073,10.5246
CAMP009,10.4704
CAMP219,10.4057
CAMP258,10.2614
CAMP220,10.2201
CAMP126,10.2178
CAMP221,10.2143
CAMP261,10.1620
CAMP087,10.1418
CAMP239,10.1239
CAMP043,10.0057
CAMP055,9.9920
CAMP187,9.8802
CAMP189,9.6331
CAMP120,9.2262
CAMP051,9.2190
CAMP020,9.0886
CAMP290,8.9793
CAMP206,8.9246
CAMP028,8.5249
CAMP160,8.4451
CAMP246,8.4386
CAMP226,8.3098
CAMP124,8.1798
CAMP277,8.1369
CAMP027,8.0468
CAMP222,7.8916
CAMP083,7.6457
CAMP230,7.6197
CAMP192,7.6018
CAMP235,7.3223
CAMP270,7.3057
CAMP021,6.9942
CAMP138,6.8899
CAMP213,6.8871
CAMP163,6.5557
CAMP119,6.4783
CAMP013,6.4087
CAMP186,6.2740
CAMP272,6.1523
CAMP232,6.1306
CAMP257,6.0611
CAMP050,6.0017
CAMP015,5.9822
CAMP263,5.9714
CAMP011,5.9437
CAMP131,5.8634
CAMP125,5.8233
CAMP118,5.7210
CAMP115,5.7188
CAMP052,5.6803
CAMP070,5.2650
CAMP275,5.1337
CAMP157,5.1137
CAMP193,5.0637
CAMP008,4.8712
CAMP140,4.8297
CAMP264,4.6912
CAMP086,4.6806
CAMP203,4.3130
CAMP109,4.1954
CAMP062,3.9891
CAMP204,3.8097
CAMP149,3.7820
CAMP145,3.4527
CAMP095,3.3740
CAMP231,3.0921
CAMP128,2.8123
CAMP247,2.6894
CAMP210,2.6321
CAMP252,2.2446
CAMP234,1.7812
CAMP265,1.6862
CAMP105,1.3677
CAMP289,1.3624
